0,Straight,Straight,0.25
1,Corner,Right,0.1
2,Straight,Straight,0.13
3,Corner,Left,0.09
4,Straight,Straight,0.19
5,Corner,Right,0.08
6,Straight,Straight,0.1
7,Corner,Left,0.06
8,Straight,Straight,0.13
9,Corner,Left,0.05
10,Straight,Straight,0.63
11,Corner,Left,0.12
12,Straight,Straight,0.07
13,Corner,Right,0.19
14,Straight,Straight,0.19
15,Straight,Straight,0.55
16,Corner,Right,0.14
17,Straight,Straight,0.48
18,Corner,Right,0.09
19,Straight,Straight,0.08
20,Corner,Left,0.11
21,Corner,Right,0.13
22,Corner,Left,0.11
23,Straight,Straight,0.76
24,Corner,Right,0.16
25,Straight,Straight,0.28
26,Corner,Left,0.1
27,Corner,Right,0.07
28,Straight,Straight,0.13
29,Corner,Right,0.04
30,Straight,Straight,0.21
